Epoch 	 Train 		 Dev 
0	-3265351.203898646	-4091693.920721153
1	-2891489.0422264836	-3613058.4706649603
2	-2541241.010804167	-3163252.4986525923
3	-2210799.9920416414	-2743515.6797512695
4	-1908251.6605125254	-2356779.498638672
5	-1625276.2379259018	-2000171.5603298568
6	-1368346.549737067	-1672556.7581470683
7	-1132960.7657660889	-1375758.5868861391
8	-920583.8924996306	-1109365.36302902
9	-732206.5276289529	-872645.2076699683
10	-566550.8708967598	-666556.2614106606
11	-423853.050044045	-490830.8638205505
12	-303007.75760063034	-343670.39295734
13	-204166.66953415895	
