turker,adjective,mean,onestdev,had_negative,logrespdev
T_6853480,large,5980,100,noNog,0.18232155679395498
T_3329879,hefty,650,210,noNog,0.35667494393773297
T_218756,conventional,1900,65,noNog,-0.262364264467191
T_2557497,powerful,3850,245,noNog,0.693147180559945
T_3294681,small,1800,15,noNog,-1.6094379124341003
T_9636949,crucial,7560,430,noNog,0.3976829676639221
T_9305725,remarkable,9210,150,noNog,1.18377009700944
T_4394973,fine,1790,80,noNog,-1.67397643357167
T_2326307,appropriate,2540,245,noNog,0.0594234204746472
T_1752881,light,10030,160,noNog,-0.8266785731844671
T_1317670,liberal,500,130,noNog,0.43078291609145397
T_1675902,major,2010,455,noNog,-0.154150679827091
T_5895235,unusual,5190,410,noNog,-1.92181259747375
T_4978701,impressive,8120,190,noNog,0.38776553101126393
T_6177742,solid,6980,390,noNog,-1.1786549963426498
T_1602331,major,9900,220,noNog,0.622529613347943
T_5816436,unusual,7630,330,noNog,0.546543706366491
T_8678864,fine,7850,260,noNog,-0.9555114450284359
T_9777423,hefty,9570,215,noNog,-0.50310357767158
T_162563,firm,4380,385,noNog,-0.559615787934672
T_6878955,hefty,9970,85,noNog,0.42488319396795793
T_5854614,radical,8890,100,noNog,0.693147180559945
T_8806212,regular,6000,170,noNog,-0.331777392316349
T_6305655,unexpected,6780,100,noNog,0.693147180559945
T_3329879,reasonable,7720,440,noNog,0.43531807125490396
T_6305655,fundamental,7570,20,noNog,-1.38629436111989
T_6445353,intense,9500,335,noNog,0.9882642314995781
T_6177742,radical,2360,130,noNog,0.96141116715286
T_1704411,appropriate,8150,445,noNog,-0.39429180750972204
T_901679,favorable,2830,390,noNog,0.37948962170595707
T_8894480,tiny,1070,425,noNog,-2.36320971481073
T_214669,unusual,4410,250,noNog,0.6729444732424261
T_5296932,comfortable,6780,405,noNog,-0.0796312696925016
T_3436294,sharp,2610,210,noNog,-0.100083458556877
T_357568,minor,910,245,noNog,-1.3741238254988302
T_6853480,severe,8130,270,noNog,2.2204460492503099e-16
T_6585464,huge,8100,210,noNog,1.04982212449768
T_9818990,tight,650,275,noNog,-1.7047480922394198
T_5854614,valuable,8560,240,noNog,0.22314355131421
T_3950237,conventional,9640,110,noNog,-0.606135803569482
T_6720730,remarkable,2150,155,noNog,0.47803580094520004
T_7013858,major,6920,475,noNog,0.358777994136614
T_6853480,reasonable,2810,490,noNog,-0.524524468123945
T_6605231,little,510,30,noNog,-0.693147180559945
T_1828022,low,7460,180,noNog,-0.6390799592892479
T_6305655,deep,9710,220,noNog,0.40546510810816494
T_6084074,fine,6960,365,noNog,-0.652873281422926
T_3985992,fine,7830,50,noNog,-0.0202027073175192
T_6878955,deep,800,210,noNog,0.35667494393773297
T_9019583,fair,8470,50,noNog,2.2204460492503099e-16
T_792249,light,5180,105,noNog,-1.6582280766045299
T_6791530,considerable,2820,185,noNog,0.7835312420285849
T_8678864,tiny,2790,140,noNog,-2.6390573296148596
T_3436294,steep,3800,80,noNog,0.559615787935423
T_1105737,light,3830,310,noNog,-1.4880770554293998
T_8163155,sensitive,8720,285,noNog,-1.27046254559464
T_1014965,major,6120,335,noNog,0.5488975717141921
T_9813376,liberal,7020,320,noNog,0.40546510810816494
T_7308371,tiny,9530,210,noNog,-3.04452243772442
T_3254798,inadequate,4540,295,noNog,-2.22123945354181
T_1317670,unusual,6530,425,noNog,0.7164040427245
