turker,adjective,mean,onestdev,had_negative,logrespdev
T_6350278,narrow,10800,475,noNog,-0.864997437486479
T_4196701,strong,560,45,noNog,0.105360515656827
T_901679,little,2040,435,noNog,-1.00017221585492
T_2832355,serious,3470,325,noNog,0.809219351810987
T_8820227,tight,3090,280,noNog,-1.02961941718076
T_143993,high,2950,265,noNog,-0.163629423781313
T_9915731,outstanding,4460,50,noNog,1.38629436111989
T_776234,relative,8320,40,noNog,-1.38629436111989
T_4394973,rich,8390,445,noNog,0.4458375633992
T_162563,tight,1600,370,noNog,-1.3083328196511799
T_7270876,large,8560,290,noNog,0.41689380393156
T_7476082,remarkable,8990,480,noNog,0.239672853262797
T_6878955,stable,5040,460,noNog,-1.05605267424794
T_1138011,aggressive,3120,70,noNog,0.6190392084046851
T_964358,steep,9760,370,noNog,1.20936365296041
T_6979146,broad,4280,490,noNog,0.38484582090403996
T_3950237,likely,3790,325,noNog,-1.08334481653596
T_1857101,high,3400,125,noNog,0.693147180559945
T_6488190,stable,6650,240,noNog,0.377294231139182
T_5895235,conservative,7440,455,noNog,-1.4198170531595302
T_3254798,large,8350,455,noNog,0.17681190098584
T_6350278,normal,3920,395,noNog,0.19490033900269002
T_3985992,legitimate,7790,275,noNog,-0.269663566949579
T_8231233,grand,7070,225,noNog,0.6476848064826071
T_9591156,aggressive,7850,140,noNog,0.916290731874155
T_1828022,sharp,5250,490,noNog,0.42566781542701704
T_4706686,conventional,1350,455,noNog,-1.10966212485569
T_3020286,thin,7260,120,noNog,-0.287682072451781
T_8678864,sizable,3370,450,noNog,0.33647223662121306
T_4196701,ordinary,7050,200,noNog,-0.693147180559945
T_2427075,major,2100,435,noNog,0.544727175439072
T_2832355,promising,3940,330,noNog,0.693147180559945
T_6997885,major,9110,15,noNog,0.9808292530129759
T_5611642,small,2460,240,noNog,-2.77258872223978
T_3567432,modest,1780,475,noNog,-3.1675825304805203
T_7483361,typical,6560,270,noNog,-1.90954250488544
T_6084074,weak,6340,95,noNog,-0.45953232937910604
T_5895235,extensive,6150,435,noNog,0.6698903183978551
T_2032567,fine,10320,320,noNog,-1.38629436111989
T_9778010,crucial,8730,65,noNog,0.0741079721508649
T_4412363,generous,9360,440,noNog,-0.35020242943376007
T_8163155,huge,7290,30,noNog,0.510825623767991
T_9777423,reasonable,9720,325,noNog,-1.54971867773103
T_6987667,weak,3460,275,noNog,-1.11696142733547
T_611790,valuable,3000,420,noNog,-0.674278696255188
T_706665,aggressive,9810,480,noNog,0.583146285347477
T_5061892,radical,4970,25,noNog,1.16315080980568
T_5800342,deep,10580,395,noNog,0.45083371313511206
T_3742702,generous,4100,145,noNog,0.321583624129212
T_9591156,usual,4240,105,noNog,0.867500567703723
T_1602331,positive,5570,70,noNog,0.538996500735187
T_5816436,familiar,5350,450,noNog,-1.0986122886691099
T_7476082,small,1260,205,noNog,-1.5163474893678701
T_7308371,important,10790,415,noNog,-0.0121213605322592
T_164446,vital,3510,90,noNog,0.693147180559945
T_3950237,conventional,9640,110,noNog,-0.606135803569482
T_9915731,huge,7650,80,noNog,1.13943428318836
T_8894480,prominent,8780,65,noNog,-0.0800427076734529
T_8126055,sound,8890,180,noNog,-0.11778303565625801
T_8181092,wide,1490,405,noNog,0.230523658612421
T_792249,huge,10070,475,noNog,1.81944289797622
T_9924870,extensive,8010,435,noNog,0.5966869143707378
T_164446,likely,2520,410,noNog,0.157628944206083
T_1859424,aggressive,1400,200,noNog,0.40546510810816494
T_3994019,traditional,7510,125,noNog,0.113328685307003
T_4852781,likely,9920,210,noNog,-0.154150679827091
T_8694327,acceptable,3360,330,noNog,0.0298529631467402
T_3329879,excessive,5780,380,noNog,1.08091271156782
T_5296932,excessive,5830,480,noNog,1.17544472071037
T_5896210,good,1340,470,noNog,-0.0215062052212894
T_8246321,considerable,7720,420,noNog,-0.0363676441705784
T_94744,big,1660,375,noNog,0.679724160226116
T_1602331,poor,4790,300,noNog,-4.0943445622200905
T_3254798,deep,3880,115,noNog,0.5780778507739389
T_6997885,great,1030,175,noNog,0.693147180559945
T_8246321,serious,4840,55,noNog,0.37469344944453603
T_164446,strong,6550,250,noNog,0.693147180559945
T_9558682,unusual,7390,380,noNog,-5.94017125271975
T_4412363,serious,2620,495,noNog,0.4800539650982371
T_1892719,extensive,6020,450,noNog,-0.31015492830429403
T_8806212,comfortable,9000,405,noNog,-0.0428817274832913
T_162563,steep,3900,250,noNog,0.113328685307003
T_6084074,good,10290,350,noNog,-0.7827593392493192
T_6585464,minor,1280,285,noNog,-2.65675690671453
T_4455068,routine,6660,240,noNog,-0.20763936477824396
T_6821639,clear,2990,75,noNog,-0.223143551314209
T_3042668,serious,6120,405,noNog,0.6554068525792139
T_8930644,substantial,7310,440,noNog,0.704446735815227
T_4189793,relative,800,140,noNog,-0.336472236620813
T_2087193,outstanding,8360,485,noNog,0.54925300090184
T_2326307,substantial,940,345,noNog,-0.106972119551813
T_5854614,likely,8320,240,noNog,-3.8712010109094797
T_143993,minor,8270,490,noNog,-0.653141845946834
T_9558682,conservative,5700,200,noNog,-1.38629436111989
T_1014965,sharp,5750,230,noNog,0.671168273840948
T_94744,favorable,5110,300,noNog,0.262364264467491
T_4455068,likely,950,385,noNog,-0.942608040192528
T_4286557,sizable,5890,35,noNog,-0.154150679827091
T_7023781,crucial,6850,80,noNog,1.13943428318836
T_8765075,sharp,850,120,noNog,0.7339691750786009
T_4412363,light,5840,395,noNog,-1.88454120268044
T_7013858,adequate,6230,105,noNog,-0.405465108107664
T_4301390,stable,4260,250,noNog,-0.44005655287778295
T_1892719,ordinary,6990,355,noNog,-0.5250102587573511
T_1752881,rare,4310,400,noNog,1.44101926080914
T_4882119,excessive,2770,205,noNog,1.1227098402480402
T_7072619,crucial,4510,240,noNog,0.485507815781701
T_3436294,tight,6560,335,noNog,-2.125251077708
T_6350278,high,8740,210,noNog,0.538996500735187
T_8765075,aggressive,8200,365,noNog,0.60738035880461
T_5800342,severe,8480,210,noNog,0.8056251639887629
T_3742702,normal,5320,290,noNog,-0.47692407209097604
T_1857101,typical,5350,470,noNog,-1.5475625087151101
T_6720730,remarkable,2150,155,noNog,0.47803580094520004
T_4091798,sensitive,3300,355,noNog,-0.573800422927629
T_7624491,poor,6380,200,noNog,-2.30258509299404
T_8894480,favorable,1220,360,noNog,-0.11778303565625801
T_7065854,high,7140,445,noNog,0.39416555285710997
T_6585464,serious,6000,195,noNog,0.9416085398574449
T_6878955,excessive,8640,200,noNog,0.7178397931503171
T_2470690,huge,1420,370,noNog,0.529037160831521
T_4301390,bullish,5380,285,noNog,0.30075415401731603
T_5697654,conventional,5930,475,noNog,-1.02751636698467
T_9274484,extensive,1920,295,noNog,0.112117298123737
T_1602331,usual,4380,100,noNog,-0.223143551314209
T_7065854,serious,3470,445,noNog,-0.0342890734791087
T_2470690,minor,3160,375,noNog,-3.2878686963560404
T_3950237,conservative,6410,100,noNog,-0.9162907318741541
T_4394973,weak,9500,320,noNog,-1.06784063000136
T_7072619,likely,5070,115,noNog,0.12260232209348598
T_9305725,sharp,7010,60,noNog,0.287682072449281
T_2032567,legitimate,2220,485,noNog,-0.549359287768001
T_5611642,slight,9820,225,noNog,-2.01490302054476
T_287849,weak,1110,355,noNog,-3.1640675883722698
T_4196701,routine,6010,390,noNog,-0.7191226669642049
T_9305725,clear,6830,130,noNog,-0.0800427076734529
T_9274484,likely,6150,270,noNog,-0.30010459244998805
T_510223,usual,2660,95,noNog,-0.864997437486479
T_914035,favorable,9500,300,noNog,2.2204460492503099e-16
T_8694327,conservative,3120,490,noNog,-3.89182029811092
T_12027,typical,5420,120,noNog,0.40546510810816494
T_5697654,nice,9090,245,noNog,0.235314086935272
T_6821639,remarkable,6910,360,noNog,0.650587566142889
T_8246321,rare,7060,360,noNog,-0.6390799592892479
T_5564614,acceptable,5450,405,noNog,-1.13635261665092
T_8765075,thin,8670,360,noNog,-1.97408102602121
T_6488190,regular,3530,445,noNog,-1.0229004669317299
T_510223,positive,5350,350,noNog,-1.94591014905631
T_8231233,high,4360,80,noNog,0.559615787935423
T_7639140,nice,2440,435,noNog,-0.18924199963798602
T_2710047,bullish,7950,240,noNog,-0.47000362924573497
T_5854614,crucial,2990,355,noNog,-3.56953269648161
T_4968619,considerable,4200,495,noNog,0.4800539650982371
T_9924870,familiar,7360,75,noNog,-0.9162907318741541
T_8742789,steep,5560,210,noNog,0.47889257666563706
T_776234,important,2080,70,noNog,0.538996500735187
T_914035,dramatic,7290,190,noNog,0.489548225319674
T_9040925,tiny,4650,385,noNog,-2.04122032886064
T_7476082,clear,9320,340,noNog,-0.53062825106157
T_214669,unusual,4410,250,noNog,0.6729444732424261
T_6821639,tight,5610,125,noNog,-0.44628710262841903
T_1138011,appropriate,2180,30,noNog,-1.0986122886691099
T_7270876,bearish,9420,65,noNog,-1.1786549963426498
T_7308371,critical,5790,85,noNog,0.257829109303009
T_4196701,solid,1510,405,noNog,0.19051832399823498
T_2710047,inadequate,940,60,noNog,-4.0943445622200905
T_4706686,likely,310,90,noNog,-0.405465108107664
T_4286557,modest,9270,415,noNog,-1.7797832781824101
T_214669,conservative,5780,5,noNog,-0.9162907318741541
T_12027,high,5870,385,noNog,0.492476485095572
T_4031111,likely,9840,280,noNog,-0.559615787934672
T_2932006,disappointing,10480,330,noNog,-4.18965474202741
T_7476082,great,2620,50,noNog,0.18232155679395498
T_8678864,striking,3410,305,noNog,0.659810760293286
T_9274484,crucial,1430,65,noNog,1.21924027645809
T_2160787,vital,3110,225,noNog,-0.0642422687281165
T_357568,outstanding,5280,420,noNog,0.255011290165184
T_5696457,striking,3390,55,noNog,0.693147180559945
T_7511839,deep,8010,150,noNog,0.236388778066862
T_4412363,typical,8030,380,noNog,-1.69167601066993
T_8694327,radical,6050,205,noNog,0.19845093872223898
T_4852781,acceptable,2930,280,noNog,0.27871340247010196
T_6084074,critical,8090,365,noNog,0.42803943014509604
T_5826734,dramatic,1510,495,noNog,0.33213383502305
T_2557497,serious,1920,335,noNog,0.5488975717141921
T_8894480,extraordinary,5330,420,noNog,0.826678573182593
T_1014965,poor,7290,135,noNog,-3.29583686600532
T_5697654,strong,1230,410,noNog,0.491120552684569
T_7270876,healthy,3910,110,noNog,-0.200670695461929
T_3950237,liberal,5700,105,noNog,1.04982212449768
T_7873203,stable,9260,365,noNog,0.186877373325838
T_1891047,sensitive,7690,120,noNog,-1.7917594692260501
T_9915731,minor,6040,385,noNog,-1.34807314830069
T_7072619,extensive,4660,275,noNog,0.0531098253182589
T_7728724,traditional,1810,425,noNog,-2.14006616349227
T_287849,striking,3480,220,noNog,0.20479441264379103
T_2257827,tiny,4000,230,noNog,-3.8286413964882797
T_9777423,regular,2320,470,noNog,-2.46385324059044
T_8126055,broad,3500,220,noNog,0.597837000754621
T_5826734,legitimate,1460,365,noNog,-1.03236290312591
T_1138011,great,7520,420,noNog,0.693147180559945
T_3294681,low,1230,320,noNog,-4.15888308335966
T_5896210,modest,9260,65,noNog,-1.87180217690259
T_1675902,great,1790,225,noNog,0.32047189527638503
T_5564614,vital,4830,465,noNog,-1.00623896853836
T_4412363,rare,8290,485,noNog,1.4702943355331999
T_9289161,big,1740,65,noNog,-0.0800427076734529
T_9813376,solid,9690,80,noNog,0.318453731118535
T_4772629,normal,7550,115,noNog,-0.36290549368943104
T_7742505,fundamental,8220,195,noNog,-0.0856137527226843
T_4968619,huge,2500,40,noNog,0.810930216216329
T_5623478,firm,2830,145,noNog,-0.728238500370501
T_8633720,strong,4050,50,noNog,0.40546510810816494
T_6305655,fair,2370,455,noNog,-1.46633706879443
T_9778010,acceptable,7030,295,noNog,-0.551176919288999
T_9192623,broad,8740,355,noNog,0.693147180559945
T_7483361,generous,5750,195,noNog,0.02531780798329
T_2470690,promising,3270,195,noNog,-0.0418909417095343
T_964358,slight,8590,80,noNog,-2.07944154167983
T_6720730,low,9410,420,noNog,-2.35137525716343
T_6350278,considerable,6540,420,noNog,0.0909717782074661
T_5478886,unexpected,10540,445,noNog,0.693147180559945
T_6997885,adequate,8340,240,noNog,-0.405465108107664
T_1675902,low,7460,320,noNog,-3.4657359027997203
